"Обнаружение лесного пожара, дата","Обнаружение лесного пожара, время","Географические координаты места обнаружения пожара, наименование","Географические координаты места обнаружения пожара, азимут, гра-дусы","Широта (градусы, минуты, секунды)","Долгота (градусы, минуты, секунды)","Скорость ветра в районе пожара, в момент обнару-жения, м/с","Площадь пожара, га (в момент обна­ ружения)","Площадь пожара, га (всего)","Площадь пожара, га (лесная)","Площадь пожара, га (покрытая лесной раститель- ностью)",Причина
01.05.2015,00:00:00,д Могильно-Старожильск,280,55.929722222222225,74.41722222222222,4.0,0.3,1.6,1.6,1.6,с иных категорий
03.05.2015,11:00:00,д Решетниково,221,56.29694444444444,74.67166666666667,3.0,1,8,8,8,с иных категорий
03.05.2015,00:00:00,д Осихино,300,56.13722222222222,74.41527777777777,3.0,0.5,6,6,0,с иных категорий
04.05.2015,14:00:00,с Такмык,321,56.27388888888889,74.64611111111111,2.0,0.3,1.1,1.1,1.1,с иных категорий
05.05.2015,11:00:00,д Осихино,132,56.15416666666667,74.4325,3.0,0.5,5,5,0,с иных категорий
06.05.2015,00:00:00,с Такмык,270,56.246944444444445,74.64583333333333,3.0,0.6,7,7,7,с иных категорий
06.05.2015,09:00:00,рп Большеречье,270,56.10638888888889,74.53944444444444,3.0,0.9,9.7,9.7,9.7,с иных категорий
01.07.2015,14:00:00,рп Большеречье,270,56.09166666666667,74.61527777777778,1.0,0.05,0.1,0.1,0.1,мн
26.04.2015,14:30:00,д Николаевка,26,55.047777777777775,71.64222222222222,5.0,4.2,22.3,22.3,22.3,с иных категорий
30.04.2015,14:30:00,д Константиновка,268,55.24194444444444,71.84277777777778,7.0,9.5,20.2,20.2,2.1,с иных категорий
06.05.2015,15:30:00,д Кабаново,175,55.278888888888886,70.88194444444444,5.0,5,20.2,20.2,20.2,с иных категорий
04.05.2015,11:10:00,п Майский,178,55.07555555555555,71.76694444444445,5.0,10.25,22.7,22.7,22.7,с иных категорий
06.05.2015,15:00:00,д Степок,7,54.86527777777778,72.02083333333333,3.0,3,3.7,3.7,2.6,с иных категорий
07.05.2015,11:10:00,д Лебяжье,85,55.23305555555555,71.0988888888889,4.0,6,21.3,21.3,21.3,с иных категорий
07.05.2015,14:36:00,д Лебяжье,285,55.246944444444445,70.895,4.0,3,8,8,8,с иных категорий
23.06.2015,16:20:00,с Солнцевка,180,54.97138888888889,71.295,1.0,0,0.01,0.01,0.01,с иных категорий
12.10.2015,16:00:00,д Волчанка,75,54.97472222222222,71.96777777777778,5.0,0.5,2.5,2.5,2.5,с иных категорий
30.04.2015,16:00:00,с Хортицы,45,55.58833333333333,74.93166666666667,6.0,4,12.6,12.6,12.6,мн
01.05.2015,14:00:00,аул Бакзе,245,55.35638888888889,74.61666666666666,6.0,5,13.6,13.6,13.6,с иных категорий
03.05.2015,16:00:00,д Докучаевка,18,55.213055555555556,74.90388888888889,2.0,4,11.7,11.7,11.7,мн
05.05.2015,12:00:00,д Дубровка,318,55.528888888888886,73.64,3.0,9,24,24,24,мн
06.05.2015,13:00:00,д Кабурлы,210,55.36222222222222,74.60555555555555,4.0,1,2.2,2.2,2.2,с иных категорий
06.05.2015,16:30:00,д Докучаевка,332,55.23444444444444,74.86361111111111,5.0,1.3,23.6,23.6,23.6,мн
06.05.2015,14:00:00,д Чулино,208,55.346666666666664,74.59694444444445,3.0,2,22.4,22.4,22.4,с иных категорий
16.05.2015,14:30:00,д Медвежья Грива,302,55.2725,75.15638888888888,5.0,4,9.9,9.9,9.9,с иных категорий
02.07.2015,14:00:00,д Новое Село,90,54.97472222222222,74.60388888888889,7.0,0.5,1,1,1,с иных категорий
10.10.2015,08:30:00,с Ситниково,221,55.63333333333333,74.72888888888889,6.0,7,8,8,8,с иных категорий
07.05.2015,16:00:00,д Чумановка,140,55.930277777777775,71.70277777777778,4.0,7,9.5,9.5,9.5,с иных категорий
15.05.2015,15:00:00,рп Крутинка,229,55.97805555555556,71.4738888888889,3.0,1.5,2,2,2,с иных категорий
05.05.2015,13:00:00,с Борисовское,149,54.60388888888889,72.6275,6.0,5,14,14,14,с иных категорий
15.05.2015,18:00:00,с Кутузовка,247,54.41888888888889,72.42611111111111,5.0,1.5,6,6,6,с иных категорий
02.05.2015,15:00:00,д Дурново,110,56.25666666666667,75.50222222222222,15.0,11,24,24,24,с иных категорий
03.05.2015,14:00:00,д Тармакла,293,56.52055555555555,75.46138888888889,4.0,1.5,1.9,1.9,1.9,мн
03.05.2015,00:00:00,с Курганка,290,59.45861111111111,75.76055555555556,4.0,4,10,10,10,с иных категорий
06.05.2015,16:00:00,д Дурново,150,56.2625,75.51861111111111,2.0,0.5,1.5,1.5,1.5,с иных категорий
07.05.2015,17:30:00,с Гурово,82,56.31638888888889,75.21694444444445,3.0,1,2,2,2,мн
13.05.2015,14:00:00,д Дурново,178,56.238055555555555,75.41888888888889,4.0,5,8,8,8,с иных категорий
16.05.2015,00:00:00,с Бергамак,35,56.437777777777775,75.10083333333333,13.0,7,23.6,23.6,23.6,мн
04.05.2015,15:20:00,д Лебяжье,351,55.24888888888889,71.01194444444444,4.0,1.5,5,5,5,с иных категорий
05.05.2015,10:00:00,д Константиновка,108,55.21888888888889,71.75611111111111,5.0,3,9.7,9.7,9.7,с иных категорий
05.05.2015,13:30:00,с Князево,65,55.37166666666667,71.09805555555556,5.0,2.7,10.9,10.9,10.9,с иных категорий
06.05.2015,15:00:00,д Кабаново,175,55.280833333333334,70.92222222222222,3.0,3.9,14.2,12.2,12.2,с иных категорий
